x1,x2,y
15.230541,50.515279,414.40
15.230533,50.515253,414.80
15.230276,50.515345,414.80
15.230158,50.515427,415.80
15.229974,50.515478,416.60
15.229802,50.515557,418.20
15.229708,50.515626,418.80
15.229650,50.515685,419.60
15.229541,50.515753,420.80
15.229433,50.515893,421.80
15.229281,50.516005,423.20
15.229181,50.516106,424.40
15.229113,50.516244,425.40
15.229072,50.516424,426.40
15.229103,50.516508,426.80
15.229226,50.516649,428.60
15.229316,50.516733,429.80
15.229344,50.516767,430.20
15.229403,50.516804,430.80
15.229564,50.516938,433.80
15.229558,50.516934,433.80
15.229632,50.516987,434.60
15.229660,50.517018,435.00
15.229861,50.517143,438.00
15.229922,50.517158,439.00
15.230090,50.517174,441.40
15.230116,50.517181,442.20
15.230141,50.517179,442.60
15.230220,50.517139,445.00
15.230254,50.517132,445.80
15.230290,50.517134,446.20
15.230390,50.517155,449.40
15.230382,50.517154,447.60
15.230386,50.517160,447.00
15.230391,50.517157,446.20
15.230388,50.517161,446.20
15.230393,50.517160,446.20
15.230390,50.517165,445.20
15.230401,50.517162,446.80
15.230400,50.517151,446.60
15.230371,50.517130,446.60
15.230385,50.517116,446.80
15.230387,50.517102,446.80
15.230421,50.517090,448.80
15.230416,50.517088,449.80
15.230419,50.517092,452.00
15.230543,50.517012,453.40
15.230935,50.516888,456.40
15.231033,50.516851,457.40
15.231097,50.516839,458.40
15.231093,50.516843,458.60
15.231101,50.516836,459.60
15.231126,50.516839,459.60
15.231114,50.516845,459.00
15.230975,50.516870,457.00
15.230884,50.516875,454.40
15.230699,50.516948,451.60
15.230635,50.516980,450.00
15.230487,50.517014,446.80
15.230495,50.517016,446.80
15.230481,50.517016,446.60
15.230487,50.517014,446.60
15.230482,50.517042,446.20
15.230468,50.517057,446.40
15.230477,50.517050,446.40
15.230468,50.517057,446.40
15.230453,50.517056,446.40
15.230314,50.517085,445.60
15.230144,50.517157,442.80
15.230091,50.517158,441.60
15.230011,50.517171,440.60
15.229969,50.517164,440.20
15.229860,50.517128,439.00
15.229779,50.517095,436.80
15.229758,50.517076,435.60
15.229721,50.517062,434.40
15.229623,50.517006,431.40
15.229496,50.516901,430.00
15.229429,50.516876,429.60
15.229264,50.516768,427.80
15.229141,50.516666,426.80
15.229145,50.516663,426.80
15.229135,50.516656,426.60
15.229109,50.516559,426.20
15.229130,50.516397,425.40
15.229154,50.516295,425.00
15.229213,50.516155,423.40
15.229314,50.516041,423.00
15.229429,50.515832,420.80
15.229523,50.515677,419.20
15.229876,50.515511,416.40
15.230014,50.515464,416.00
15.230280,50.515409,415.40
15.230460,50.515343,415.20
15.230522,50.515304,415.80
15.230602,50.515277,415.60
15.230688,50.515235,415.60
15.231174,50.515062,414.80
15.231316,50.515098,415.00
15.231378,50.515123,415.40
15.231597,50.515278,417.80
15.231534,50.515214,416.60
15.231346,50.515108,415.60
15.231053,50.514967,413.40
15.230965,50.514935,412.20
15.230771,50.514905,410.40
15.230669,50.514901,408.60
15.230175,50.514929,407.00
15.230086,50.514929,406.20
15.229862,50.514899,405.60
15.229736,50.514857,405.40
15.229670,50.514840,405.40
15.229539,50.514821,404.80
15.229278,50.514817,403.80
15.229153,50.514830,403.80
15.228367,50.514953,403.00
15.228238,50.514986,402.40
15.228155,50.514996,402.20
15.227971,50.515032,401.20
15.227590,50.515079,400.00
15.226934,50.515138,396.40
15.226663,50.515181,392.40
15.226596,50.515196,392.00
15.226255,50.515301,390.60
15.225844,50.515441,387.80
15.225354,50.515591,384.60
15.224812,50.515777,381.00
15.224621,50.515836,380.40
15.224444,50.515903,379.60
15.224113,50.516007,378.60
15.224020,50.516030,377.80
15.223956,50.516030,377.80
15.223860,50.516008,377.60
15.223505,50.515898,376.40
15.223326,50.515851,376.00
15.222948,50.515733,375.00
15.221702,50.515368,371.40
15.221402,50.515268,370.20
15.221095,50.515181,368.80
15.220778,50.515075,366.80
15.220336,50.514832,365.60
15.220228,50.514727,364.00
15.220147,50.514616,362.60
15.220118,50.514558,362.20
15.220064,50.514393,361.40
15.220060,50.514241,360.60
15.220186,50.513288,355.80
15.220235,50.513176,356.00
15.220285,50.513107,355.60
15.220246,50.513022,355.20
15.220235,50.512958,354.80
15.220273,50.512735,353.60
15.220420,50.512168,351.40
15.220521,50.511905,350.60
15.220603,50.511580,349.60
15.220656,50.511475,349.20
15.220794,50.511355,348.60
15.220835,50.511347,348.40
15.220957,50.511361,348.20
15.221224,50.511475,347.20
15.221564,50.511542,346.00
15.221637,50.511549,345.60
15.221793,50.511549,344.80
15.222127,50.511528,343.80
15.222351,50.511555,344.00
15.222697,50.511615,344.80
15.223004,50.511679,345.20
15.223393,50.511719,345.80
15.223584,50.511668,346.00
15.223818,50.511501,345.40
15.224040,50.511320,344.60
15.224238,50.511193,344.60
15.224481,50.511073,344.60
15.225107,50.510792,344.00
15.225541,50.510556,346.20
15.225774,50.510372,346.00
15.226059,50.510213,345.80
15.226182,50.510234,346.60
15.226137,50.510243,346.40
15.226061,50.510205,346.20
15.226060,50.510153,345.80
15.226153,50.510063,345.40
15.226316,50.509931,345.00
15.226524,50.509780,343.80
15.226989,50.509512,343.00
15.227160,50.509450,342.60
15.227431,50.509369,341.40
15.227806,50.509279,340.40
15.228398,50.509160,339.20
15.228567,50.509099,339.20
15.228605,50.509066,339.40
15.228634,50.508975,338.80
15.228618,50.508924,337.80
15.228527,50.508840,337.40
15.228337,50.508761,336.40
15.227893,50.508640,338.00
15.227666,50.508562,339.80
15.227528,50.508487,340.60
15.227412,50.508387,341.60
15.227149,50.508116,342.60
15.227025,50.507979,342.80
15.226677,50.507627,342.20
15.226554,50.507387,343.00
15.226422,50.507025,342.60
15.226306,50.506789,342.20
15.226144,50.506581,341.20
15.225791,50.506181,339.00
15.225541,50.505870,338.20
15.225451,50.505727,337.60
15.225375,50.505581,337.00
15.225228,50.505160,335.00
15.224754,50.504020,331.00
15.224610,50.503639,330.60
15.224410,50.503161,330.20
